name,country_codes,countries
MANARD ALLIANCE LTD.,RUS,Russia
EASTMED Ltd,RUS,Russia
Revald Global Ltd,RUS,Russia
BLUMA VENTURES LTD.,RUS,Russia
CAVILAND LIMITED,RUS,Russia
SENATOR CONSULTING LTD,RUS,Russia
Bradley Traders Ltd,RUS,Russia
ACE VALLEY PROPRIETORS CORP,RUS,Russia
BRITANNIA TRADING LTD,RUS,Russia
Technologies Holding Ltd,RUS,Russia
AG GROUP INTERNATIONAL LTD.,RUS,Russia
AMP CAPITAL CORPORATION,RUS,Russia
ComTech Ltd.,RUS,Russia
Mantela Ventures Ltd.,RUS,Russia
Palaus Investments Ltd.,RUS,Russia
WEBINVEST Ltd.,RUS,Russia
TIMSON ALLIANCE LTD.,RUS,Russia
PAULIN PARTNERS LTD.,RUS,Russia
BLADES Consulting Ltd,RUS,Russia
GLOVER CORP.,RUS,Russia
HILLROY INTERNATIONAL LIMITED,RUS,Russia
CLAREMONT PROJECTS LTD.,RUS,Russia
Iqoption Liquidity Ltd,RUS,Russia
PEGASUS CAPITAL LTD,RUS,Russia
Oriental Diamond Ltd.,RUS,Russia
Southcoast Alliance Ltd,RUS,Russia
MAGELLAN PROVIDERS LTD,RUS,Russia
Trans-Atlantic Travel Consulting Inc.,RUS,Russia
G.F. Consulting Ltd,RUS,Russia
BERMTECH LTD.,RUS,Russia
7X Performance Media Ltd.,RUS,Russia
MANDEL MANAGEMENT LTD.,RUS,Russia
NEWBURY GLOBAL LTD.,RUS,Russia
VIGNES PARTNERS LTD.,RUS,Russia
GLENDALE EQUITIES S.A.,RUS,Russia
Lagoda Limited,RUS,Russia
"APPLIED RESEARCH CONSULTANTS, INC.",RUS,Russia
BORAMET LIMITED,RUS,Russia
TOUMAN COMMERCE LTD.,RUS,Russia
INTERCOM GROUP LTD. S.A.,RUS,Russia
FARO MARINE S.A.,RUS,Russia
JANGLE ASSOCIATES S.A.,RUS,Russia
ATOLL CONSULTING TRADING INC.,RUS,Russia
PRIMEX INVESTMENTS LTD. INC.,RUS,Russia
TECHLOGISTICS FINANCE LTD.,RUS,Russia
INELSOL S.A.,RUS,Russia
GREENDALE COMMODITIES S.A.,RUS,Russia
ATOLL CONSULTING INTERNATIONAL LIMITED,RUS,Russia
WIDEX INVESTMENTS LTD. INC.,RUS,Russia
LECTON COMPANY S.A.,RUS,Russia
EASTGATE CAPITAL INC.,RUS,Russia
ATHENS ASSOCIATES INC.,RUS,Russia
JILLSON ASSOCIATES INC.,RUS,Russia
BERNARD GROUP CORP.,RUS,Russia
MONTY GOLD CORP.,RUS,Russia
PRIME VENTURE COMPANY INC.,RUS,Russia
OCEAN INTERNATIONAL LIMITED,RUS,Russia
APEX OVERSEAS INVESTMENTS INC.,RUS,Russia
HERBERT BUSINESS CORPORATION,RUS,Russia
ZENA INTERNATIONAL LTD.,RUS,Russia
HOLDLINE CORP.,RUS,Russia
DUNWELL TECHNOLOGIES LIMITED,RUS,Russia
VS Investments Limited,RUS,Russia
WAGNER PACIFIC INVESTMENT LTD.,RUS,Russia
BANNER MARKETING CORP.,RUS,Russia
ENGINEERING EQUITIES CORP.,RUS,Russia
INSCHON SERVICES S.A.,RUS,Russia
DESTRIP OVERSEAS CORP.,RUS,Russia
"FLAVELL ENTERPRISES, INC.",RUS,Russia
M. Crossbow and Partners Limited,RUS,Russia
"FORTIS TRADE CORPORATION, S.A.",RUS,Russia
DUROME HOLDINGS INC.,RUS,Russia
KELLARD TRADING INC.,RUS,Russia
"CONTACT, LTD., S.A.",RUS,Russia
METAL RESOURCE CORP.,RUS,Russia
MARKETING REAL ESTATE CORP.,RUS,Russia
NAFTA MANAGEMENT S.A.,RUS,Russia
TEMPO SERVICES LTD.,RUS,Russia
ARMAND CORP.,RUS,Russia
MANFRED GROUP CORP.,RUS,Russia
BV HOLDINGS INCORPORATED,RUS,Russia
SAFE SOFT CORPORATION,RUS,Russia
OVERSEAS LOGISTIC SERVICE INC.,RUS,Russia
WELFERN RESOURCES S.A.,RUS,Russia
SOMERSET ASSOCIATES INC.,RUS,Russia
NORTH - EAST MOSCOW VESTA. ADMINISTRATIVE DISTRICT LTD. CO.,RUS,Russia
"""KASKAD"" CORP.",RUS,Russia
"""INTERCENTRE"" LIMITED",RUS,Russia
"""CONTACT"" CORP.",RUS,Russia
JUNIPER ASSOCIATES S.A.,RUS,Russia
MINING-PROCESSING-REALIZATION LIMITED,RUS,Russia
TECHNOINVEST LATEKO. MOSCOW NORTH - EAST ADM. DISTRICT LTD.,RUS,Russia
GARANT LIMITED,RUS,Russia
TEHSTROY+ LIMITED,RUS,Russia
"""ORION"" LTD.",RUS,Russia
"""RAYS +"" LTD.",RUS,Russia
"""VERESK"" COMPANY LIMITED",RUS,Russia
STYLE PLUS LTD.,RUS,Russia
"""MONCRAFT"" LTD.",RUS,Russia
"""ENERGOFINTRAST"" LTD.",RUS,Russia
AZZORINE MARITIME S.A.,RUS,Russia
"EASTERN INDUSTRIAL UNION, INC.",RUS,Russia
INVEST-MOSCOW LIMITED,RUS,Russia
PROMTECHMONTAZH  LTD.,RUS,Russia
"""STYLE"" LTD.",RUS,Russia
INTERMETSERVICE S.A.,RUS,Russia
SPETSISOLIATORSTROY INC.,RUS,Russia
CARAT LIMITED,RUS,Russia
AMRUS COMPANY,RUS,Russia
"""REMSTROY"" LTD.",RUS,Russia
SCIENTIFIC AND TECHNICAL CENTRE OF ENERGY RESERVE LIMITED,RUS,Russia
STROYCOM SOUTH MOSCOW ADMINISTRATIVE DISTRICT LTD.,RUS,Russia
"""KONTUR - II"" LTD.",RUS,Russia
PROBMEHMASH  LTD.,RUS,Russia
AGROTECH FINANCE COMPANY LIMITED,RUS,Russia
PROMHIM LTD.,RUS,Russia
BLITZ LIMITED,RUS,Russia
"""OMEGA - M"" LTD.",RUS,Russia
OSTINBOURG LTD.,RUS,Russia
"""RUSLAN TRADE HOUSE"" LTD.",RUS,Russia
HANFORD ENTERPRISES LIMITED,RUS,Russia
"""ELKO-MOSCOW"" LTD.",RUS,Russia
"""MOSFINSERVICE"" LTD.",RUS,Russia
TRENSIS ENTERPRISE INCORPORATED,RUS,Russia
"""ENY"" TRADE-INDUSTRIAL COMPANY LTD.",RUS,Russia
QUEENSLAND CORPORATION,RUS,Russia
MOSCOW ROSSPETSSTROYMONTAZH LTD.,RUS,Russia
"""INTEGRAL"" LTD.",RUS,Russia
"""QVARTA"" LTD.",RUS,Russia
"""MOSAVTOSERVICE"" LTD.",RUS,Russia
"""VITALPLAST"" LTD.",RUS,Russia
MOSCOW-TRANSIT LTD.,RUS,Russia
"""INTERPULSE"" LTD.",RUS,Russia
"""KASKAD +"" LTD.",RUS,Russia
"""RUSINTERTORG"" LIMITED",RUS,Russia
TECHNORESURS LTD.,RUS,Russia
COMPUTEX CO.,RUS,Russia
"""INVEST"" LIMITED",RUS,Russia
"SCIENTIFIC PRODUCTION ASSOCIATION ""SPECIAL METAL PROCESSING",RUS,Russia
TECHMASH LTD.,RUS,Russia
KVANT LIMITED,RUS,Russia
"""INCOMTEK"" LIMITED",RUS,Russia
ARAL LTD.,RUS,Russia
"""MASTER OFFICE"" LTD.",RUS,Russia
ZEGZITSA LIMITED,RUS,Russia
"""INTELCOM"" LTD.",RUS,Russia
"""PETROIL"" LIMITED",RUS,Russia
STROYTECHNOLOGY LTD.,RUS,Russia
AVILON EAST ADM. DISTRICT OF THE CITY OF MOSCOW LTD.,RUS,Russia
"""KRUG-D"" LTD.",RUS,Russia
"""STROYINTEGRAL"" LTD.",RUS,Russia
"""ENERGOMASHSBIT"" LTD.",RUS,Russia
"""FIRMA TRADE HOUSE"" LTD.",RUS,Russia
PRODEX SOUTH MOSCOW ADMINISTRATIVE DISTRICT LTD.,RUS,Russia
EPROM LTD.,RUS,Russia
RUSSIAN-BALTIC TRADE COMPANY LTD.,RUS,Russia
"""RUSINTEGRAL"" LTD.",RUS,Russia
"""COMITA"" LTD.",RUS,Russia
"""DIAMED"" LTD.",RUS,Russia
"""AO SOVPLAST"" LTD.",RUS,Russia
RODEX LTD.,RUS,Russia
MOSINTER TRADE CO.,RUS,Russia
RUSINTERTRANS CO.,RUS,Russia
ELCOR LTD.,RUS,Russia
INVESTSERVICE LTD.,RUS,Russia
"INTERMARKET CO., LTD.",RUS,Russia
"""TRANSINSTROY"" LTD.",RUS,Russia
"""FORMULA-M"" LTD.",RUS,Russia
"""FIRMA RAZNOOPTORG"" LTD.",RUS,Russia
CAOUTCHOUC LTD.,RUS,Russia
"""CLEARING - VEKCEL COMPANY"" LTD.",RUS,Russia
ENERGY ROCKET SPACE CORPORATION,RUS,Russia
"""RECO GROUP"" LTD.",RUS,Russia
ORBITA PLUS INC.,RUS,Russia
A.E.C. CORPORATION,RUS,Russia
"""RUSCENTRE"" TRADE CO.",RUS,Russia
PLANET CO.,RUS,Russia
PHOENIX LTD.,RUS,Russia
BRIG LIMITED,RUS,Russia
LINDA LTD.,RUS,Russia
"""OCTAVIA"" LTD.",RUS,Russia
"""RUSSIAN EMPIRE"" FINANCE-INDUSTRY GROUP LTD.",RUS,Russia
"""EKOMETAL"" LTD.",RUS,Russia
"""PROMSTROYTRANS"" LTD.",RUS,Russia
"""OFFICE CENTRE"" LTD.",RUS,Russia
TOMA 2000 LTD.,RUS,Russia
CANDIFORD INVESTMENTS AG,RUS,Russia
M BUSINESS G. MINSK REPUBLIC OF BELARUS LIMITED COMPANY,RUS,Russia
DJI INVESTMENT LTD.,RUS,Russia
PROFESSIONAL DIRECTORS COMPANY LTD.,RUS,Russia
ACA CAPITAL MANAGEMENT INC.,RUS,Russia
VOLNOGORSK STATE MINING AND METALLURGICAL PLANT LTD.,RUS,Russia
"""TECHINCOM ENTERPRISE"" LTD.",RUS,Russia
CONTOUR LIMITED,RUS,Russia
STANKOPROM LTD.,RUS,Russia
OMNEX LTD.,RUS,Russia
AVIATION TECHNOLOGIES LTD.,RUS,Russia
DYON CORPORATION,RUS,Russia
"""PETROLEUM - CHEMICAL EQUIPMENT"" LTD.",RUS,Russia
"""TECHCOMPLEKT"" LTD.",RUS,Russia
"""PROMSTROYKOMPLEKT"" LTD.",RUS,Russia
"""PROMSERVIS"" LTD.",RUS,Russia
"""SPETSTEKHNOKOMPLEKT"" LTD.",RUS,Russia
"""VEKTOPROM"" LTD.",RUS,Russia
"""CENTROPROEKT"" LTD.",RUS,Russia
"""MIU-SORB"" LTD.",RUS,Russia
"""PROMTEH"" LTD.",RUS,Russia
INVEST-TECHNOLOGY LTD.,RUS,Russia
AREAL INTERNATIONAL LTD.,RUS,Russia
"""COMDEKS"" LTD.",RUS,Russia
"""ATLANT"" LTD.",RUS,Russia
DENEX LTD.,RUS,Russia
TRIADA INVEST LTD.,RUS,Russia
INFORM-SERVICE INC.,RUS,Russia
FIRM FINTRASTSERVICE LTD.,RUS,Russia
ROSINVEST MOSCOW LTD.,RUS,Russia
TROIKA LTD.,RUS,Russia
GAMMA LTD.,RUS,Russia
FINTEKS-TRADE LTD.,RUS,Russia
THE URAL TECHNICAL RUBBER PRODUCTS PLANT LTD.,RUS,Russia
PENTA-M LIMITED,RUS,Russia
"""INVEST-AVIA"" LTD.",RUS,Russia
TORUS HOLDING LTD.,RUS,Russia
MOLIDEKS INC.,RUS,Russia
STOCK-INVEST GMBH,RUS,Russia
"""MASHPROMSTROY"" LTD.",RUS,Russia
FININVEST LTD.,RUS,Russia
"""PALMOR-INTERSERVICE"" LTD.",RUS,Russia
URALSTROYKOMPLEKT LTD.,RUS,Russia
INTERFREIGHT LTD.,RUS,Russia
"""GLOBUS INFORM"" LTD.",RUS,Russia
"""ATLAS SERVICE"" LTD.",RUS,Russia
"""GRANIT"" LTD.",RUS,Russia
AMC EQUIPMENT & TECHNOLOGY CO. LTD.,RUS,Russia
WANDERER ENTERPRISES INTERNATIONAL LTD.,RUS,Russia
"""WEST TOUR"" LIMITED",RUS,Russia
INTERPROM FIRM LTD.,RUS,Russia
"""LIGO MACROCOMPLEX"" LTD.",RUS,Russia
"""AUTON CENTRE"" LTD.",RUS,Russia
DYNACASH BUSINESS LIMITED S.A.,RUS,Russia
STROPEX MOSCOW TRADE HOUSE LTD.,RUS,Russia
TECHINVEST FOUNDATION CORP.,RUS,Russia
"""TRANSITSERVICE"" LTD.",RUS,Russia
SOUTH MOSCOW TECHNO-ADMINISTRATIVE DISTRICT LIMITED COMPANY,RUS,Russia
"""ASTAR"" LTD.",RUS,Russia
"""DELAR"" LTD.",RUS,Russia
COMPUTER COMMUNICATIONS AND SYSTEMS LIMITED,RUS,Russia
"""VNESHTORGCONTRACT"" LIMITED",RUS,Russia
"""SPIKA'S - CENTRE"" LTD.",RUS,Russia
"""M.G.T.S."" LTD",RUS,Russia
BW TRADING COMPANY LTD.,RUS,Russia
"""PROMTRANSSNAB"" LTD.",RUS,Russia
FINANCIAL & MARKETING GROUP GMBH,RUS,Russia
SHARE-INVEST LTD.,RUS,Russia
"""SATALLIT"" LTD.",RUS,Russia
"""FIRMA TRADE ALLIANCE"" LTD.",RUS,Russia
"""BUSINESS CONSULTING CENTER"" LTD.",RUS,Russia
LEKTORAN LTD.,RUS,Russia
FAIRFIELDS OVERSEAS LTD.,RUS,Russia
"""TEHSTROY-MARKET"" LTD.",RUS,Russia
METALOPTTORG LTD.,RUS,Russia
FRONDE LTD.,RUS,Russia
GAINER CONSULTANTS INC.,RUS,Russia
CRYTON LTD.,RUS,Russia
SNABTEHPROM LTD.,RUS,Russia
"""INTERPRODTORG"" LTD.",RUS,Russia
"""IMPORT-CONTRACT"" LTD.",RUS,Russia
MELOR SOUTH-WEST MOSCOW ADMINISTRATIVE DISTRICT ENTERPR.INC.,RUS,Russia
"""RUSINVEST"" LTD.",RUS,Russia
"""STAVAN-TRANSMET"" LTD.",RUS,Russia
L-DEVELOPMENT LTD.,RUS,Russia
TEHNOINFOR LTD.,RUS,Russia
RUSSIAN METALLURGICAL SUPPLY CO. LTD.,RUS,Russia
"""PRACTICA"" LTD.",RUS,Russia
"""TEHNOLOGIA"" LTD.",RUS,Russia
CYCLE LTD.,RUS,Russia
MC BUILD LTD.,RUS,Russia
MALCOM MINUS LTD.,RUS,Russia
"""IN",RUS,Russia
"""METALTORGMASH"" LTD.",RUS,Russia
CENTRAL MOSCOW ENERGOWEST. ADMINISTRATIVE DISTRICT LIMITED,RUS,Russia
"""UNICOM LUX"" LTD.",RUS,Russia
"""PROMSTROYPROEKT"" LTD.",RUS,Russia
"""QVATRA"" LTD.",RUS,Russia
"""ONTARIO SERVICE"" LTD.",RUS,Russia
"""KOMUSTORG"" LTD.",RUS,Russia
UT & T LTD.,RUS,Russia
FOUR REASONS LTD.,RUS,Russia
ANT TRADE HOUSE LTD.,RUS,Russia
"""GEMMASTROY"" LTD.",RUS,Russia
"""VORTEX TRADE HOUSE"" LTD.",RUS,Russia
"""METALON"" LTD.",RUS,Russia
"VESTAR TRADING, INC.",RUS,Russia
INTERNATIONAL MANAGEMENT & CORPORATE SERVICES (RUSSIA) LTD.,RUS,Russia
"""NIKA"" LTD.",RUS,Russia
"""METAL-RESOURCE"" LTD.",RUS,Russia
"""SALIT"" LTD.",RUS,Russia
TD NIDGNIA VOLGA-1 LTD.,RUS,Russia
REMVODSTROY LTD.,RUS,Russia
"""PRINCIPAL DEPARTMENT OF STRATEGICAL PLAN. OF INVEST."" LTD.",RUS,Russia
AMICUS INC.,RUS,Russia
DORTEH LTD.,RUS,Russia
FORAUTO LTD.,RUS,Russia
STANKOSTROY LTD.,RUS,Russia
MAGNIT LTD.,RUS,Russia
MOMENT LTD.,RUS,Russia
VICTORIA LTD.,RUS,Russia
EASTMAN LTD.,RUS,Russia
UNICOM INVESTMENTS LTD.,RUS,Russia
MASTER-SERVICE LTD.,RUS,Russia
"""LINCOR"" LTD.",RUS,Russia
"""SELENA+"" LTD.",RUS,Russia
BELPROMSERVICE LTD.,RUS,Russia
MARGARITA LIMITED,RUS,Russia
ELSTROY LTD.,RUS,Russia
"SUFFIELD SERVICES,LTD.",RUS,Russia
HOUSTON INTERNATIONAL INC.,RUS,Russia
TECHNOSCIENTIFIC BUSINESS CONSORTIUM LTD.,RUS,Russia
IRINAL S.A.,RUS,Russia
OPTIMA LTD.,RUS,Russia
EAST MOSCOW TECHSTROY ADMINISTRATIVE DISTRICT LIMITED CO.,RUS,Russia
"""TERMSTROY"" LIMITED",RUS,Russia
"""PROMINVESTSERVICE"" LTD.",RUS,Russia
"""LIMA STROYCOM"" LTD.",RUS,Russia
"""NPO ELVIS"" LTD.",RUS,Russia
"""ASPECT"" LTD.",RUS,Russia
BONUS PLUS LTD.,RUS,Russia
"""KOMUSTRADE"" LTD.",RUS,Russia
L-GROUP TRADING LTD.,RUS,Russia
BURLINGTON TRADING LTD.,RUS,Russia
SU-176 LTD.,RUS,Russia
"""RUSVNESHTORG"" LTD.",RUS,Russia
INTOUREST LTD.,RUS,Russia
ABR SERVICE LTD.,RUS,Russia
ALA INTERNATIONAL LTD.,RUS,Russia
"""ENERGOCOMPLEKT"" LIMITED",RUS,Russia
TPO MEDPREPARATIONS LTD.,RUS,Russia
"""TEHSTROY-M"" LTD.",RUS,Russia
"""AIR LATEKO"" AIR COMPANY LTD.",RUS,Russia
"""STROYCOM"" LTD.",RUS,Russia
"""METALSNAB"" LTD.",RUS,Russia
R.A.S.A. LTD.,RUS,Russia
TOTOT LTD.,RUS,Russia
"""SOUTH TRADE HOUSE"" LTD.",RUS,Russia
"""MONOLIT"" LTD.",RUS,Russia
PANTIN LTD.,RUS,Russia
COMMUNICATION SERVICE INC.,RUS,Russia
DOLINA LTD.,RUS,Russia
STROYINVEST - RESOURCES LTD.,RUS,Russia
A & E HOLDINGS LIMITED,RUS,Russia
MASS METROPOLITAN CONSULTING LTD.,RUS,Russia
REOLI LTD.,RUS,Russia
DESARIO LTD.,RUS,Russia
VELATON LTD.,RUS,Russia
FIELDCREST INCORPORATED,RUS,Russia
"""BASIS"" LTD.",RUS,Russia
ECONTA LTD.,RUS,Russia
"""ASTRON"" LTD.",RUS,Russia
TECHVNESHTRANS S.A.,RUS,Russia
"""PROMTEHSHAB"" LTD.",RUS,Russia
"""TERMIN"" LTD.",RUS,Russia
LA KONTAMIN INSURANCE LIMITED,RUS,Russia
NOVACOM LTD.,RUS,Russia
"""RUSTECHCOMPLEKT"" LTD.",RUS,Russia
CHILTERN HOLDINGS S.A.,RUS,Russia
A & CO. TRANSCENTER LTD.,RUS,Russia
"""MOSINFORM"" LTD.",RUS,Russia
AGROPROMTEH LTD.,RUS,Russia
TELUR LTD.,RUS,Russia
SIGMA LTD.,RUS,Russia
NEFTEPROMSNAB LTD.,RUS,Russia
FARTIER SERVICES LTD.,RUS,Russia
STATUS MOSCOW LTD.,RUS,Russia
WALLNET DESIGN INC.,RUS,Russia
KosmopolitEx Finance Corporation,RUS,Russia
"""MONTAGLEGMASH"" LTD.",RUS,Russia
"""MOSINGSTROY"" LTD.",RUS,Russia
"""RUSKOR-TECHNOLOGY"" LTD.",RUS,Russia
AGATE LIMITED,RUS,Russia
SOLEX CORPORATION,RUS,Russia
INFORMATICA LTD.,RUS,Russia
TRIAD CO.,RUS,Russia
''OIL & GAS ARMATURA'' INDUSTRIAL COMPANY LTD.,RUS,Russia
TECHSTROY LTD.,RUS,Russia
ALFA-TREND LTD.,RUS,Russia
"GREENSLADE CORPORATION, INC.",RUS,Russia
SPETSPROMARMATURA,RUS,Russia
WALBERN INC.,RUS,Russia
CASRER & CO. LTD.,RUS,Russia
MAIN INVESTMENT COMPANY LTD.,RUS,Russia
SPECIAL INFORMATION SYSTEMS INC.,RUS,Russia
LICORES LATINOS INC.,RUS,Russia
"ADRIATICA BANK, INC.",RUS,Russia
ASTOR  AUTO GROUP LTD.,RUS,Russia
KosmopolitEx Investment Corp.,RUS,Russia
"""ENERGOSERVICE"" LTD.",RUS,Russia
"""IRMA CENTER"" LTD.",RUS,Russia
EXCLUSIVE TRADING CORP.,RUS,Russia
INMAXO GROUP INC.,BLR,Belarus
"""ORION INFORM"" LTD.",RUS,Russia
SALTERIO S.A.,RUS,Russia
SpecialEuroTrade Corp.,RUS,Russia
"""ASTARCOM"" LTD.",RUS,Russia
"""ORION-CENTER"" LTD.",RUS,Russia
"""KONDOR+""LTD.",RUS,Russia
"""SANITA"" LTD.",RUS,Russia
"THE EAGLE'S GIFT, LTD.",RUS,Russia
"""SANTORS TRANSERVICE"" LTD.",RUS,Russia
"""ALPHA MOSCOW"" LTD.",RUS,Russia
LERON LTD.,RUS,Russia
"""PALATEK"" LTD.",RUS,Russia
"""BALCHUG"" LTD.",RUS,Russia
GRANFIELD INC.,RUS,Russia
SOLING ASSETS INCORPORATED,RUS,Russia
LENFIELD ASSETS CORPORATION,RUS,Russia
NORSELAND INVESTMENTS S.A.,RUS,Russia
Gem Two Inc.,RUS,Russia
STRATTFORD HOLDINGS GROUP INC.,RUS,Russia
ANGLO UNIVERSAL HOLDINGS LIMITED,AZE,Azerbaijan
CHATTERTON CORPORATION,RUS,Russia
MINSON CONSULTANTS INC.,RUS,Russia
TEMPLAR CONSULTANTS LIMITED,RUS,Russia
LARDEN INVESTMENTS CORPORATION,RUS,Russia
HAMPTON ASSOCIATES LIMITED,RUS,Russia
UNITED INVESTMENTS GLOBAL CORPORATION,RUS,Russia
SANADEN TRADING LTD.,RUS,Russia
RINALDI ASSETS LTD,RUS,Russia
BALTON EUROINVEST LTD.,UZB,Uzbekistan
RONALD INTERNATIONAL INC.,RUS,Russia
UNITED NATIONAL FINANCIAL CORPORATION,RUS,Russia
Autopoints Limited,RUS,Russia
TRI SIRTAKA GROUP LTD.,RUS,Russia
RENWEG PROPERTIES LIMITED,RUS,Russia
V.H.S. UNION GROUP CORP.,RUS,Russia
INPAC COMMERCIAL PARTNERSHIP LTD.,RUS,Russia
ASTEY TRADING LTD.,RUS,Russia
RANFOOD TRADING INCORPORATED,RUS,Russia
TELEDIGIT ENTERPRISES LIMITED,RUS,Russia
COLLYER MANAGEMENT LTD.,RUS,Russia
HOTFELT LIMITED,RUS,Russia
GRIMLAND ENTERPRISES LIMITED,RUS,Russia
KOUTCHER COMPANY LIMITED,RUS,Russia
NUTWELL CORP.,RUS,Russia
QUICKSWOOD INCORPORATED,RUS,Russia
U. & R. SERVICES GROUP INC.,RUS,Russia
TYRRELL INTERNATIONAL S.A.,RUS,Russia
TEMSFORD TRADING S.A.,RUS,Russia
GENERAL REINSURENCES CORP.,RUS,Russia
WOLVERLEY GROUP INC.,RUS,Russia
DOLLING TRADING INC.,RUS,Russia
ANFIN CONSULTING LTD.,RUS,Russia
ANTWERP COMMERCIAL PARTNERSHIP LTD.,RUS,Russia
TENDY DEVELOPMENT INC.,RUS,Russia
LINDOS INTERNATIONAL LTD.,RUS,Russia
PHAETHON INTERNATIONAL S.A.,RUS,Russia
ANGLO BROKERS LTD.,RUS,Russia
GREENIDGE INVESTMENTS LIMITED,RUS,Russia
HERMITAGE INVESTMENTS GROUP LTD.,RUS,Russia
BATTERSEA TRADING INC.,RUS,Russia
BERLINER FUNDS LTD.,RUS,Russia
ABN FINANCE LTD.,RUS,Russia
BRIDGE ASSOCIATES LIMITED,RUS,Russia
KEMBER FINANCIAL SERVICES LIMITED,RUS,Russia
MERRION INTERNATIONAL LTD.,RUS,Russia
BATLEY LIMITED,RUS,Russia
F & T GROUP SERVICES LIMITED,RUS,Russia
HEPCO FINANCE LIMITED,RUS,Russia
CREAMSON INTERNATIONAL LTD.,RUS,Russia
BELGIAN BROKERS LTD.,RUS,Russia
GLADSTONE UNION INC.,RUS,Russia
GRIFF METAL TRADE TRANSPORT LTD.,RUS,Russia
ABN HOLDINGS CORPORATION,RUS,Russia
TRAGOPAN ENTERPRISES INC.,RUS,Russia
PLOVER TRADING INC.,RUS,Russia
INVESTMENT & FINANCIAL COMPANY FIVAN LTD.,RUS,Russia
EURORANGE MANAGEMENT INC.,RUS,Russia
SPOUTSIDE LIMITED,RUS,Russia
SHERLY TRADING LIMITED,RUS,Russia
DELOFRAM INC.,RUS,Russia
SVALEX TRADING CORPORATION,RUS,Russia
KWARZ CORPORATION,RUS,Russia
SEFTON TRADING CORPORATION,RUS,Russia
VEER TRADERS LIMITED,RUS,Russia
FRANKFURT HOLDINGS CORPORATION,RUS,Russia
MULTICURRENCY COMMERCIAL LTD.,RUS,Russia
BOTNER INTERNATIONAL GROUP LIMITED,RUS,Russia
PLATINI STEEL TRADE LTD.,RUS,Russia
UNION ELECTRIC INTERNATIONAL LIMITED,RUS,Russia
CHEVIOT INTERNATIONAL INC.,RUS,Russia
PLAYFORD INTERNATIONAL LTD.,RUS,Russia
YARROW INTERNATIONAL LTD.,RUS,Russia
HUBBLE GROUP LTD.,RUS,Russia
UNITED MARKETING INVESTMENTS CORPORATION,RUS,Russia
UPCROFT CORPORATION,RUS,Russia
RAVELI TRADE LTD,RUS,Russia
ELSINORE INVESTMENTS LTD.,RUS,Russia
NEWSFORCE GROUP INC.,RUS,Russia
VIATICA MANAGEMENT LTD.,RUS,Russia
ECONOMIC CONSULTING CORPORATION,RUS,Russia
YEARLONG ALLIANCE CORPORATION,RUS,Russia
GOLF INTERNATIONAL INC.,RUS,Russia
PRIMAVERA SERVICES CORP.,RUS,Russia
